name,0,1,2,3,4,5,6,7,8,9,Mean_pk,Std_pk
rico_seq2seq_add_0.1,0.301,0.32899999999999996,0.363,0.434,0.35600000000000004,0.353,0.36700000000000005,0.379,0.41100000000000003,0.33399999999999996,0.3627,0.036886447375696144
rico_transformer_add_0.1,0.406,0.366,0.324,0.484,0.449,0.40399999999999997,0.38,0.377,0.45899999999999996,0.359,0.40079999999999993,0.04746114200058822
rico_transformer_mean_add_0.1,0.41100000000000003,0.33299999999999996,0.396,0.429,0.474,0.301,0.41,0.409,0.354,0.46399999999999997,0.3981,0.052058524758198825
conv_re_conv_se_add_0.1,0.426,0.44299999999999995,0.43,0.364,0.35600000000000004,0.484,0.38299999999999995,0.45399999999999996,0.431,0.483,0.42539999999999994,0.04279766348762511
rico_seq2seq_add_0.2,0.409,0.39899999999999997,0.364,0.369,0.387,0.33399999999999996,0.451,0.379,0.414,0.386,0.38920000000000005,0.030218537357059497
rico_transformer_add_0.2,0.406,0.39299999999999996,0.327,0.413,0.41100000000000003,0.41100000000000003,0.33899999999999997,0.32299999999999995,0.5,0.39299999999999996,0.39159999999999995,0.04981806901115298
rico_transformer_mean_add_0.2,0.446,0.387,0.429,0.45899999999999996,0.433,0.419,0.426,0.436,0.376,0.371,0.4182,0.02851946703569335
conv_re_conv_se_add_0.2,0.44,0.313,0.429,0.336,0.386,0.439,0.379,0.386,0.447,0.48100000000000004,0.40360000000000007,0.05010029940030299
rico_seq2seq_add_0.3,0.389,0.39,0.391,0.409,0.35,0.38299999999999995,0.401,0.396,0.40700000000000003,0.441,0.3957,0.021757987039246078
rico_transformer_add_0.3,0.483,0.409,0.406,0.451,0.447,0.433,0.42700000000000005,0.396,0.47700000000000004,0.38,0.4309,0.03229690387637799
rico_transformer_mean_add_0.3,0.47600000000000003,0.433,0.423,0.494,0.457,0.386,0.36700000000000005,0.48,0.396,0.42,0.4332,0.04069103095277877
