name,0,1,2,3,4,5,6,7,8,9,Mean_ak,Std_ak
conv_re_conv_se_cat_0.4,0.289,0.258,0.302,0.261,0.252,0.225,0.273,0.338,0.251,0.248,0.2697,0.030718235626415784
conv_re_conv_se_cat_0.5,0.269,0.225,0.294,0.278,0.23,0.183,0.244,0.29,0.257,0.243,0.25129999999999997,0.03211245864146811
conv_re_conv_se_cat_0.6,0.236,0.202,0.288,0.261,0.219,0.183,0.223,0.268,0.217,0.209,0.2306,0.030942527369301944
conv_re_conv_se_cat_0.7,0.24,0.171,0.228,0.224,0.194,0.185,0.218,0.235,0.244,0.224,0.2163,0.023379692042454277
conv_re_conv_se_cat_0.8,0.212,0.172,0.237,0.216,0.187,0.182,0.22,0.279,0.198,0.196,0.20990000000000003,0.029541326984412877
conv_re_conv_se_cat_0.9,0.225,0.108,0.202,0.195,0.181,0.181,0.207,0.21,0.178,0.198,0.1885,0.030256404280746916
rico_conv_se_add_0.1,0.356,0.337,0.309,0.264,0.352,0.341,0.358,0.343,0.327,0.339,0.33259999999999995,0.026650328328183873
rico_conv_se_cat_0.1,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_conv_se_add_0.1,0.356,0.336,0.32,0.274,0.319,0.341,0.358,0.343,0.328,0.339,0.3314,0.022821919288263194
seq2seq_conv_se_cat_0.1,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
tree_conv_se_add_0.1,0.356,0.336,0.307,0.274,0.32,0.341,0.335,0.345,0.32,0.359,0.3293,0.02405015592465046
tree_conv_se_cat_0.1,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
rico_conv_se_add_0.2,0.302,0.337,0.309,0.264,0.354,0.341,0.358,0.343,0.327,0.354,0.32889999999999997,0.02802302624628539
rico_conv_se_cat_0.2,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_conv_se_add_0.2,0.313,0.336,0.333,0.274,0.303,0.325,0.358,0.343,0.328,0.339,0.3252,0.022431228232087513
seq2seq_conv_se_cat_0.2,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
tree_conv_se_add_0.2,0.356,0.308,0.307,0.264,0.32,0.341,0.356,0.345,0.32,0.379,0.32959999999999995,0.03109083466232452
tree_conv_se_cat_0.2,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
rico_conv_se_add_0.3,0.326,0.337,0.309,0.264,0.354,0.341,0.358,0.343,0.368,0.353,0.3353,0.02864280014244417
rico_conv_se_cat_0.3,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
