name,0,1,2,3,4,5,6,7,8,9,Mean_ak,Std_ak
transformer_mean_conv_se_cat_0.8,0.365,0.325,0.362,0.278,0.37,0.351,0.34,0.33,0.322,0.378,0.3421,0.028324724182240496
rico_conv_se_add_0.9,0.345,0.321,0.334,0.273,0.324,0.37,0.349,0.369,0.346,0.359,0.33899999999999997,0.02715879231482872
seq2seq_conv_se_add_0.9,0.364,0.357,0.321,0.298,0.331,0.388,0.351,0.325,0.344,0.373,0.3452,0.025603905952022242
transformer_conv_se_add_0.9,0.335,0.358,0.337,0.281,0.354,0.384,0.358,0.352,0.358,0.38,0.3497,0.0272435313423205
transformer_mean_conv_se_add_0.9,0.379,0.334,0.316,0.259,0.353,0.367,0.375,0.353,0.313,0.384,0.3433,0.03679959238904692
rico_conv_se_cat_0.9,0.371,0.35,0.334,0.306,0.355,0.373,0.365,0.33,0.344,0.364,0.34919999999999995,0.02009378013217025
seq2seq_conv_se_cat_0.9,0.367,0.364,0.365,0.271,0.394,0.377,0.35,0.311,0.333,0.38,0.3512,0.03508788964870928
transformer_conv_se_cat_0.9,0.371,0.335,0.348,0.263,0.363,0.381,0.328,0.37,0.352,0.33,0.34409999999999996,0.032107475764999026
transformer_mean_conv_se_cat_0.9,0.338,0.327,0.335,0.272,0.355,0.373,0.364,0.33,0.351,0.375,0.34199999999999997,0.02849210416940103
rico_conv_re_add_0.1,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
seq2seq_conv_re_add_0.1,0.271,0.135,0.21,0.239,0.225,0.185,0.227,0.206,0.198,0.209,0.2105,0.03388878870659145
transformer_conv_re_add_0.1,0.271,0.135,0.21,0.227,0.225,0.181,0.227,0.224,0.197,0.222,0.21190000000000003,0.03385690476106758
transformer_mean_conv_re_add_0.1,0.271,0.135,0.21,0.227,0.225,0.181,0.227,0.224,0.198,0.208,0.21060000000000004,0.03366065953008052
rico_conv_re_cat_0.1,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
seq2seq_conv_re_cat_0.1,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
transformer_conv_re_cat_0.1,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
transformer_mean_conv_re_cat_0.1,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
rico_conv_re_add_0.2,0.271,0.146,0.211,0.229,0.225,0.22,0.227,0.224,0.198,0.223,0.21739999999999998,0.029587835338192623
seq2seq_conv_re_add_0.2,0.264,0.163,0.233,0.239,0.225,0.22,0.227,0.215,0.197,0.209,0.2192,0.02541180827882975
transformer_conv_re_add_0.2,0.263,0.135,0.21,0.227,0.225,0.181,0.227,0.227,0.197,0.222,0.21140000000000003,0.03265026799277458
transformer_mean_conv_re_add_0.2,0.263,0.135,0.21,0.239,0.225,0.181,0.227,0.224,0.197,0.208,0.21090000000000003,0.03315252629891122
rico_conv_re_cat_0.2,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
seq2seq_conv_re_cat_0.2,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
transformer_conv_re_cat_0.2,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
transformer_mean_conv_re_cat_0.2,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
rico_conv_re_add_0.3,0.256,0.146,0.211,0.229,0.239,0.163,0.227,0.224,0.198,0.223,0.2116,0.03224344894703419
seq2seq_conv_re_add_0.3,0.264,0.162,0.233,0.239,0.225,0.22,0.227,0.236,0.197,0.209,0.2212,0.026068371640745033
transformer_conv_re_add_0.3,0.263,0.135,0.21,0.239,0.225,0.181,0.226,0.227,0.197,0.222,0.21250000000000005,0.03337139493638226
transformer_mean_conv_re_add_0.3,0.263,0.135,0.21,0.225,0.225,0.181,0.226,0.219,0.197,0.208,0.20890000000000003,0.03197327008612038
rico_conv_re_cat_0.3,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
seq2seq_conv_re_cat_0.3,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
